time;MSL_filtered_GIA_TPA_corrected_adjusted;
2012-05-19;7.3537564;
2012-05-20;7.355915;
2012-05-21;7.356641;
2012-05-22;7.35596;
2012-05-23;7.3539014;
2012-05-24;7.350495;
2012-05-25;7.3457723;
2012-05-26;7.339767;
2012-05-27;7.332515;
2012-05-28;7.3240514;
2012-05-29;7.3144145;
2012-05-30;7.3036447;
2012-05-31;7.2917814;
2012-06-01;7.278867;
2012-06-02;7.2649446;
2012-06-03;7.250058;
2012-06-04;7.234253;
2012-06-05;7.217576;
2012-06-06;7.2000737;
2012-06-07;7.1817956;
2012-06-08;7.162791;
2012-06-09;7.1431093;
2012-06-10;7.122802;
2012-06-11;7.101921;
2012-06-12;7.0805182;
2012-06-13;7.058647;
2012-06-14;7.0363607;
2012-06-15;7.0137124;
2012-06-16;6.990756;
2012-06-17;6.967545;
2012-06-18;6.9441333;
2012-06-19;6.9205737;
2012-06-20;6.8969193;
2012-06-21;6.873223;
2012-06-22;6.8495364;
2012-06-23;6.8259106;
2012-06-24;6.8023963;
2012-06-25;6.7790422;
2012-06-26;6.755898;
2012-06-27;6.73301;
2012-06-28;6.710425;
2012-06-29;6.688188;
2012-06-30;6.666344;
2012-07-01;6.6449356;
2012-07-02;6.624005;
2012-07-03;6.6035924;
2012-07-04;6.583739;
2012-07-05;6.564482;
2012-07-06;6.5458603;
2012-07-07;6.52791;
2012-07-08;6.5106664;
2012-07-09;6.494163;
2012-07-10;6.478432;
2012-07-11;6.4635053;
2012-07-12;6.449412;
2012-07-13;6.436179;
2012-07-14;6.423834;
2012-07-15;6.4124002;
2012-07-16;6.4019012;
2012-07-17;6.3923564;
2012-07-18;6.383785;
2012-07-19;6.3762026;
2012-07-20;6.3696227;
2012-07-21;6.3640566;
2012-07-22;6.3595138;
2012-07-23;6.356;
2012-07-24;6.353519;
2012-07-25;6.352072;
2012-07-26;6.351657;
2012-07-27;6.3522716;
2012-07-28;6.3539095;
2012-07-29;6.356563;
2012-07-30;6.360222;
2012-07-31;6.3648744;
2012-08-01;6.370507;
2012-08-02;6.377104;
2012-08-03;6.3846483;
2012-08-04;6.3931212;
2012-08-05;6.4025025;
2012-08-06;6.412771;
2012-08-07;6.423904;
2012-08-08;6.4358773;
2012-08-09;6.4486666;
2012-08-10;6.462245;
2012-08-11;6.476586;
2012-08-12;6.4916615;
2012-08-13;6.507443;
2012-08-14;6.5239015;
2012-08-15;6.5410066;
2012-08-16;6.558728;
2012-08-17;6.577035;
2012-08-18;6.5958953;
2012-08-19;6.615278;
2012-08-20;6.635149;
2012-08-21;6.655477;
2012-08-22;6.6762276;
2012-08-23;6.697368;
2012-08-24;6.718865;
2012-08-25;6.740684;
2012-08-26;6.7627916;
2012-08-27;6.7851543;
2012-08-28;6.8077374;
2012-08-29;6.8305078;
2012-08-30;6.8534317;
2012-08-31;6.876476;
2012-09-01;6.899606;
2012-09-02;6.9227896;
2012-09-03;6.9459934;
2012-09-04;6.969184;
2012-09-05;6.992329;
2012-09-06;7.0153966;
2012-09-07;7.0383544;
2012-09-08;7.0611706;
2012-09-09;7.0838137;
2012-09-10;7.106253;
2012-09-11;7.1284585;
2012-09-12;7.1504;
2012-09-13;7.1720476;
2012-09-14;7.1933727;
2012-09-15;7.2143455;
2012-09-16;7.234939;
2012-09-17;7.2551246;
2012-09-18;7.2748756;
2012-09-19;7.2941656;
2012-09-20;7.3129687;
2012-09-21;7.3312607;
2012-09-22;7.349017;
2012-09-23;7.366215;
2012-09-24;7.382833;
2012-09-25;7.3988495;
2012-09-26;7.4142447;
2012-09-27;7.4290004;
2012-09-28;7.443099;
2012-09-29;7.4565244;
2012-09-30;7.4692626;
2012-10-01;7.4813;
2012-10-02;7.4926248;
2012-10-03;7.503227;
2012-10-04;7.5130997;
2012-10-05;7.522235;
2012-10-06;7.530628;
2012-10-07;7.538277;
2012-10-08;7.545181;
2012-10-09;7.55134;
2012-10-10;7.5567584;
2012-10-11;7.5614414;
2012-10-12;7.5653963;
2012-10-13;7.5686326;
2012-10-14;7.571162;
2012-10-15;7.5729985;
2012-10-16;7.5741577;
2012-10-17;7.5746574;
2012-10-18;7.5745173;
2012-10-19;7.573758;
2012-10-20;7.5724044;
2012-10-21;7.570481;
2012-10-22;7.568014;
2012-10-23;7.565033;
2012-10-24;7.5615673;
2012-10-25;7.5576477;
2012-10-26;7.553307;
2012-10-27;7.5485787;
2012-10-28;7.5434966;
2012-10-29;7.5380955;
2012-10-30;7.532412;
2012-10-31;7.5264826;
